Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line,Over,Under
1,1,10/22/2024,39-297,LAL,,MIN,W (+7),1,34:39:00,7,16,0.438,1,4,0.25,1,1,1,0,5,5,4,0,2,2,3,16,10.1,-6,23.5,-114,-106
2,2,10/25/2024,39-300,LAL,,PHO,W (+7),1,34:42:00,7,13,0.538,2,5,0.4,5,8,0.625,0,4,4,8,0,0,2,1,21,17.9,14,23.5,-102,-120
3,3,10/26/2024,39-301,LAL,,SAC,W (+4),1,33:46:00,12,22,0.545,4,9,0.444,4,4,1,0,14,14,10,0,1,5,3,32,27.1,13,22.5,-120,-102
4,4,10/28/2024,39-303,LAL,@,PHO,L (-4),1,35:48:00,3,14,0.214,2,5,0.4,3,6,0.5,0,5,5,8,1,0,2,1,11,6.9,-17,22.5,-110,-110
5,5,10/30/2024,39-305,LAL,@,CLE,L (-24),1,28:58:00,9,13,0.692,1,3,0.333,7,7,1,1,5,6,3,0,0,6,2,26,18,-17,21.5,-112,-108
6,6,11/1/2024,39-307,LAL,@,TOR,W (+6),1,36:15:00,9,17,0.529,5,8,0.625,4,6,0.667,0,6,6,10,1,0,0,1,27,27.3,11,23.5,-105,-115
7,7,11/4/2024,39-310,LAL,@,DET,L (-12),1,40:00:00,7,16,0.438,1,2,0.5,5,5,1,1,7,8,11,2,0,1,1,20,22.7,-16,22.5,-122,-100
8,8,11/6/2024,39-312,LAL,@,MEM,L (-17),1,35:25:00,15,24,0.625,6,11,0.545,3,4,0.75,0,7,7,6,1,0,5,2,39,29.3,-21,27.5,-108,-112
9,9,11/8/2024,39-314,LAL,,PHI,W (+10),1,33:48:00,9,14,0.643,2,4,0.5,1,1,1,0,12,12,13,0,3,2,0,21,27.6,12,22.5,-122,-100
10,10,11/10/2024,39-316,LAL,,TOR,W (+20),1,34:47:00,6,14,0.429,0,3,0,7,7,1,2,8,10,16,1,0,3,0,19,24.6,13,23.5,-124,102
11,11,11/13/2024,39-319,LAL,,MEM,W (+5),1,36:56:00,13,22,0.591,4,7,0.571,5,8,0.625,1,11,12,14,1,0,6,2,35,31.6,3,23.5,-102,-120
12,12,11/15/2024,39-321,LAL,@,SAS,W (+5),1,37:49:00,6,12,0.5,1,4,0.25,2,4,0.5,1,15,16,12,1,0,7,0,15,15.8,3,24.5,-105,-115
13,13,11/16/2024,39-322,LAL,@,NOP,W (+5),1,37:02:00,8,19,0.421,2,7,0.286,3,5,0.6,4,3,7,5,1,0,6,1,21,11.9,1,23.5,-105,-115
14,14,11/19/2024,39-325,LAL,,UTA,W (+6),1,33:53:00,9,17,0.529,1,5,0.2,7,11,0.636,0,2,2,12,0,0,4,1,26,20.7,-5,24.5,-105,-115
15,15,11/21/2024,39-327,LAL,,ORL,L (-1),1,37:02:00,12,22,0.545,5,9,0.556,2,4,0.5,2,8,10,7,0,1,4,0,31,25,-8,22.5,-108,-112
16,16,11/23/2024,39-329,LAL,,DEN,L (-25),1,34:41:00,7,17,0.412,1,4,0.25,3,3,1,0,6,6,7,3,0,6,3,18,11.4,-25,23.5,-120,-102
17,17,11/26/2024,39-332,LAL,@,PHO,L (-27),1,34:44:00,7,16,0.438,2,7,0.286,2,2,1,1,7,8,10,0,0,5,0,18,14.4,-30,22.5,-100,-122
18,18,11/27/2024,39-333,LAL,@,SAS,W (+18),1,33:05:00,8,18,0.444,0,2,0,0,0,,3,7,10,11,1,1,5,0,16,15.2,4,22.5,-102,-120
